ChartSource,Season,Japanese Title,Romaji Title,English Title,Additional Titles,Medium,Continuing,Summary,Tags,StartDate,Episodes,Images,Studios,Amazon,Amazon Instant Video Us,Anidb,Anilist,Anime-Planet,Anisearch,Comic Festa Anime Zone,Crunchyroll,Funimation,Hulu,Kitsu,Mal,Mal2,Netflix,Official Site,Official Site2,Preview,Twitter,Twitter2,Website,Youtube,Youtube2
"AniChart (100178), Livechart (2715)",Spring-2018,リズと青い鳥,Liz to Aoi Tori,Liz to Aoi Tori,"Liz und ein Blauer Vogel, Liz and the Blue Bird, Hibike! Euphonium Movie: Mizore to Nozomi no Monogatari, , Hibike! Euphonium: Kitauji Koukou Suisougaku-bu e Youkoso, Hibike! Euphonium Movie 3: Mizore to Nozomi no Monogatari, Sound! Euphonium Movie 3: The Story of Mizore and Nozomi, Liz und ein BlauerVogel",Movie,False,"(From AniChart)
The film will focus on characters Nozomi Kasaki and Mizore Yoroizuka.
(From Livechart)
All-new ""Hibike! Euphonium"" film telling a story of Nozomi Kasaki and Mizore Yoroizuka.
(Source: Anime News Network)","Music, Slice of Life, Drama, School",21/04/2018 11:00 +0900,1,"https://cdn.anilist.co/img/dir/anime/reg/100178-NPuTRgpWB8Ez.jpg, https://u.livechart.me/anime/poster_images/2715/5aeb702ab52a78be847f67f1105e46e1:small.jpg","Kyoto Animation, KyoAni",,,http://anidb.net/a13491,https://anilist.co/anime/100178,,https://www.anisearch.com/anime/12528,,,,,https://kitsu.io/anime/13618,http://myanimelist.net/anime/35677,https://myanimelist.net/anime/35677,,http://liz-bluebird.com/,,https://www.youtube.com/watch?v=MBDaON4IPnc,https://twitter.com/liz_bluebird,,http://liz-bluebird.com,www.youtube.com/watch?v=hBkdgCvZPX0,
AniChart (100181),Spring-2018,デジモンアドベンチャー tri. 第6章「ぼくらの未来」,Digimon Adventure tri. 6: Bokura no Mirai,Digimon Adventure tri. 6: Bokura no Mirai,"Digimon tri. 6, Digimon Adventure tri. 6: Our Future, , ",Movie,False,"(From AniChart)
The sixth movie in the new Digimon Adventure series.","Adventure, Fantasy",05/05/2018 11:00 +0900,1,https://cdn.anilist.co/img/dir/anime/reg/100181-oTwznKIAT1vb.jpg,Toei Animation,,,,https://anilist.co/anime/100181,,,,,,,,http://myanimelist.net/anime/36466,,,http://digimon-adventure.net/,,,https://twitter.com/Digi_advntr15th,,,www.youtube.com/watch?v=dm--x6bgzj3,
AniChart (99196),Spring-2018,曇天に笑う<外伝> ～宿命、双頭の風魔～,"Donten ni Warau Gaiden: Shukumei, Soutou no Fuuma","Donten ni Warau Gaiden: Shukumei, Soutou no Fuuma",,Movie,False,"(From AniChart)
The second part in an anime film trilogy adaptation of the Donten ni Warau Gaiden (Laughing Under the Clouds - Side Story) spinoff manga.",Action,09/06/2018 11:00 +0900,1,https://cdn.anilist.co/img/dir/anime/reg/99196-Ovstu6Hl0K0B.jpg,Wit Studio,,,,https://anilist.co/anime/99196,,,,,,,,http://myanimelist.net/anime/35424,,,http://donten-anime.jp/,,,https://twitter.com/donten_anime,,,www.youtube.com/watch?v=emjGy32YKdU,
AniChart (100248),Spring-2018,ニンジャバットマン,Ninja Batman,Batman Ninja,,Movie,False,"(From AniChart)
""A project three years in the making! [BATMAN NINJA] revealed at New York Comic Con 2017""
<br>
(Source: Kamikaze Douga News)",Action,24/04/2018 11:00 +0900,0,https://cdn.anilist.co/img/dir/anime/reg/100248-lzxg9gN7NdIF.jpg,Kamikaze Douga,,,,https://anilist.co/anime/100248,,,,,,,,http://myanimelist.net/anime/36517,,,,,,,,,www.youtube.com/watch?v=QF031DwMffQ,
AniChart (100537),Spring-2018,SERVAMP -サーヴァンプ-: Alice in the Garden,SERVAMP: Alice in the Garden,SERVAMP: Alice in the Garden,,Movie,False,"(From AniChart)
None","Action, Supernatural",08/04/2018 11:00 +0900,1,https://cdn.anilist.co/img/dir/anime/reg/100537-mwl7hyhz9cEN.jpg,Platinum Vision,,,,https://anilist.co/anime/100537,,,,,,,,http://myanimelist.net/anime/36803,,,http://servamp-movie.jp/,,,https://twitter.com/anime_servamp,,,www.youtube.com/watch?v=Q3naqDKvIGg,
AniChart (100561),Spring-2018,Godzilla -決戦機動増殖都市-,Godzilla: Kessen Kidou Zoushoku Toshi,Godzilla: Kessen Kidou Zoushoku Toshi,,Movie,False,"(From AniChart)
None","Kaiju, Action, Sci-Fi",18/05/2018 11:00 +0900,1,https://cdn.anilist.co/img/dir/anime/reg/100561-Man3i4RfitSo.jpg,,,,,https://anilist.co/anime/100561,,,,,,,,http://myanimelist.net/anime/36816,,,http://godzilla-anime.com/index.html,,,https://twitter.com/GODZILLA_ANIME,,,,
"AniChart (98073), Livechart (2405)",Spring-2018,LOST SONG,LOST SONG,LOST SONG,"Finis, , Rin, Lost Song",ONA,False,"(From AniChart)
Rin, an energetic girl who loves to eat, lives in a verdant frontier village. Deep within the royal palace in the bustling capital city, the songstress Finis spends her days in solitude. Both share a special power no other person has. A miraculous power that can heal wounds, create water and stir the wind -- the power of song. Guided by destiny, the two young women each face an arduous journey with the power of song. The shadow of war looms over the kingdom, tainting even the miraculous songs with the blood of innocents. Loved ones meet their deaths as silent screams echo through a stone prison. As two destinies intersect, will the final song be one of despair, hope or...?<br><br>

(Source: ANN)
(From Livechart)
Rin, an energetic girl who loves to eat, lives in a verdant frontier village. Deep within the royal palace in the bustling capital city, the songstress Finis spends her days in solitude. Both share a special power no other person has. A miraculous power that can heal wounds, create water and stir the wind -- the power of song. Guided by destiny, the two young women each face an arduous journey with the power of song. The shadow of war looms over the kingdom, tainting even the miraculous songs with the blood of innocents. Loved ones meet their deaths as silent screams echo through a stone prison. As two destinies intersect, will the final song be one of despair, hope or...?","Fantasy, Music",31/03/2018 11:00 +0900,12,"https://cdn.anilist.co/img/dir/anime/reg/98073-0k6Wkk5ApUSN.jpg, https://u.livechart.me/anime/poster_images/2405/7fbaecae5a8f7f6c0a37bb58b387d562.png:small.jpg","LIDENFILMS, LIDEN FILMS",,,http://anidb.net/a12523,https://anilist.co/anime/98073,http://www.anime-planet.com/anime/lost-song,https://www.anisearch.com/anime/12163,,,,,https://kitsu.io/anime/12722,http://myanimelist.net/anime/34338,https://myanimelist.net/anime/34338,https://www.netflix.com/title/80191369,http://lost-song.com/,,https://www.youtube.com/watch?v=vQuNJ06_1GI,https://twitter.com/lostsonganime,,http://lost-song.com,www.youtube.com/watch?v=vQuNJ06_1GI,
"AniChart (100400), Livechart (3131)",Spring-2018,SNSポリス,SNS Police,SNS Police,,ONA,False,"(From AniChart)
The manga's story centers around the titular ""SNS Police"" (Social Network Service Police), who protect the peace in social media sites like Twitter and Facebook and deal harsh justice to those who violate it.<br><br>

(Source: ANN)
(From Livechart)
The story centers around the titular SNS Police (Social Network Service Police), who protect the peace in social media sites like Twitter and Facebook and deal harsh justice to those who violate it.
(Source: ANN)","Kids, Full CGI, Comedy, Police",24/03/2018 11:00 +0900,9,"https://cdn.anilist.co/img/dir/anime/reg/100400-xTwLZlUtdxAB.jpg, https://u.livechart.me/anime/poster_images/3131/c368520d58c828e28e52e26371219e30.png:small.jpg",Studio TBD,,,http://anidb.net/a13529,https://anilist.co/anime/100400,http://www.anime-planet.com/anime/sns-police,https://www.anisearch.com/anime/12919,,,,,,http://myanimelist.net/anime/36623,https://myanimelist.net/anime/36623,,https://www.sns-police.com/,,https://www.youtube.com/watch?v=NHLnmkAbTwk,https://twitter.com/SNSPolice_MOV,,http://sns-police.com,www.youtube.com/watch?v=NHLnmkAbTwk,
AniChart (99916),Spring-2018,あさがおと加瀬さん,Asagao to Kase-san,Asagao to Kase-san,,OVA,False,"(From AniChart)
Yamada may be shy and rather clumsy, but the flower gardens at her school have always brought her happiness. Suddenly, a different sort of beauty catches her eye—the vivacious track star, Kase-san. Although the two girls don't seem to have much in common, they soon start a romance where each must learn an important lesson in tending their budding relationship. Can the two girls, so different from each other, learn how to make their first love blossom?<br><br>

(Source: Seven Seas)","Shoujo Ai, School, Romance",09/06/2018 11:00 +0900,1,https://cdn.anilist.co/img/dir/anime/reg/99916-BvB7lDcW6eBu.jpg,ZEXCS,,,,https://anilist.co/anime/99916,,,,,,,,http://myanimelist.net/anime/36214,,,http://asagao-anime.com/,,,https://twitter.com/asagao_anime,,,www.youtube.com/watch?v=k94x6pAb_k0,
AniChart (97873),Spring-2018,異世界居酒屋～古都アイテーリアの居酒屋のぶ～,Isekai Izakaya: Koto Aitheria no Izakaya Nobu.,Isekai Izakaya: Koto Aitheria no Izakaya Nobu.,"isekai izakaya ""NOBU""",ONA,False,"(From AniChart)
The novels center on a bar called ""Nobu"" — located in Kyoto, Japan, but with a door that is connected to the bar in another world. The visitors include denizens of the other world, and customers seek out its excellent ""Toriaezu Nama"" ale and cuisine.<br><br>

(Source: ANN)","Comedy, Fantasy",13/04/2018 11:00 +0900,0,https://cdn.anilist.co/img/dir/anime/reg/97873-jYQ3dPoaOLxX.jpg,Sunrise,,,,https://anilist.co/anime/97873,,,,,,,,http://myanimelist.net/anime/34420,,,https://r.gnavi.co.jp/nobu/,,,https://twitter.com/isekaiizakaya,,,www.youtube.com/watch?v=NWjYkDKRVUY,
AniChart (101016),Spring-2018,伊藤潤二「コレクション」富江,Ito Junji: Collection - Tomie,Ito Junji: Collection - Tomie,,OVA,False,"(From AniChart)
Unaired episodes included with the second and third DVD sets of the TV anime.
<br><br>
Tomie Kawakami is a femme fatale with long black hair and a beauty mark just under her left eye. She can seduce nearly any man, and drive them to murder as well, even though the victim is often Tomie herself. While one lover seeks to keep her for himself, another grows terrified of the immortal succubus. But soon they realize no matter how many times they kill her, the world will never be free of Tomie.
<br><br>
(Source: VIZ Media)","Drama, Horror, Supernatural",27/04/2018 11:00 +0900,2,https://cdn.anilist.co/img/dir/anime/reg/101016-3pHOmHONwsyn.jpg,Studio DEEN,,,,https://anilist.co/anime/101016,,,,,,,,http://myanimelist.net/anime/36992,,,,,,,,,www.youtube.com/watch?v=HokQmZz2y1Y,
AniChart (101290),Spring-2018,天下統一恋の乱　出陣！雑賀4人衆,Tenka Touitsu Koi no Ran ~ Shutsujin! Saika 4-nin Shuu,Tenka Touitsu Koi no Ran ~ Shutsujin! Saika 4-nin Shuu,,ONA,False,"(From AniChart)
15th Century Japan is ravaged by constant wars, as the lords of the realm seek to rule the land. Having lost your father in battle, you are working in the restaurant he left your mother and little brother...when an evil magistrate sends your little brother away...to become a poison taster! To save his life, you disguise yourself as a boy and go to the castle in his place...but what awaits you there is so much more!<br><br>

“I'll show you all...my divine rule!”<br><br>

In the Sengoku era...love is the most dangerous battle of all!<br><br>

(Source: Official Website)",,01/05/2018 00:00 +0900,0,https://cdn.anilist.co/img/dir/anime/reg/101290-vHdD8XlWtEEd.jpg,UWAN Pictures,,,,https://anilist.co/anime/101290,,,,,,,,https://anilist.co/anime/101290,,,https://anime.voltage.co.jp/koiran/,,,https://twitter.com/aniran_official,,,,
AniChart (99568),Spring-2018,バチカン奇跡調査官 (OVA),Vatican Kiseki Chousakan (OVA),Vatican Miracle Examiner (OVA),Vatican Miracle Examiner Special,OVA,False,"(From AniChart)
The flyer from this year's AnimeJapan 2017 event revealed that Vatican Kiseki Chousakan will receive an OVA episode.","Mystery, Supernatural, Drama",11/04/2018 11:00 +0900,1,https://cdn.anilist.co/img/dir/anime/reg/99568-le1iw1iNLxyy.jpg,,,,,https://anilist.co/anime/99568,,,,,,,,http://myanimelist.net/anime/35231,,,,,,,,,www.youtube.com/watch?v=leKjB5iWxGs,
Livechart (3015),Spring-2018,食戟のソーマ 餐ノ皿 遠月列車篇,Shokugeki no Souma: San no Sara - Toutsuki Ressha-hen,Food Wars! The Third Plate - Totsuki Train Arc,"Food Wars: Shokugeki no Soma 4th Season, Food Wars! Shokugeki no Soma 4th Season, Shokugeki no Souma 4th Season, Toutsuki Ressha, Toutsuki Train, Shi no Sara, Shokugeki no Souma: San no Sara (2018), Food Wars! The Third Plate (2018)",,False,"(From Livechart)
Second half of ""Shokugeki no Souma: San no Sara"" (Food Wars! The Third Plate).","Ecchi, School, Shounen",09/04/2018 12:30 +0900,0,https://u.livechart.me/anime/poster_images/3015/2521eda60e5c6955ae837c7fa8bfa31b.png:small.jpg,J.C.Staff,,,http://anidb.net/a13658,,http://www.anime-planet.com/anime/food-wars-the-third-plate-toutsuki-ressha-hen-ova,https://www.anisearch.com/anime/13111,,http://www.crunchyroll.com/food-wars-shokugeki-no-soma,,,https://kitsu.io/anime/14092,https://myanimelist.net/anime/36949,,,,,https://www.youtube.com/watch?v=8uEl3f8On1U,https://twitter.com/shokugeki_anime,,http://shokugekinosoma.com,,
Livechart (2899),Spring-2018,僕のヒーローアカデミア 第三期,Boku no Hero Academia 3rd Season,My Hero Academia 3rd Season,HeroAca,,False,"(From Livechart)
Izuku has dreamt of being a hero all his life—a lofty goal for anyone, but especially challenging for a kid with no superpowers. That’s right, in a world where eighty percent of the population has some kind of super-powered “quirk,” Izuku was unlucky enough to be born completely normal. But that’s not going to stop him from enrolling in one of the world’s most prestigious hero academies. Now, the only thing standing between him and his first class is the academy’s formidable entrance exam—nothing a little private tutoring from the world’s mightiest hero can’t solve.
(Source: Funimation)","Action, Comedy, School, Shounen, Supernatural",07/04/2018 16:30 +0900,25,https://u.livechart.me/anime/poster_images/2899/0b9879d772ccb9777e8089f9d953e0b9:small.jpg,Bones,,,http://anidb.net/a13485,,http://www.anime-planet.com/anime/my-hero-academia-3,https://www.anisearch.com/anime/12846,,,https://www.funimation.com/shows/my-hero-academia/,,https://kitsu.io/anime/13881,https://myanimelist.net/anime/36456,,,,,https://www.youtube.com/watch?v=JezE6iZUWxo,https://twitter.com/heroaca_anime,,http://heroaca.com,,
Livechart (2913),Spring-2018,東京喰種：re,Tokyo Ghoul:re,,,,False,"(From Livechart)
Two years have passed since the CCG’s raid on Anteiku. Although the atmosphere in Tokyo has changed drastically due to the increased influence of the CCG, ghouls continue to pose a problem as they have begun taking caution, especially the terrorist organization Aogiri Tree, who acknowledge the CCG’s growing threat to their existence.
The creation of a special team, known as the Quinx Squad, may provide the CCG with the push they need to exterminate Tokyo’s unwanted residents. As humans who have undergone surgery in order to make use of the special abilities of ghouls, they participate in operations to eradicate the dangerous creatures. The leader of this group, Haise Sasaki, is a half-ghoul, half-human who has been trained by famed special class investigator, Kishou Arima. However, there’s more to this young man than meets the eye, as unknown memories claw at his mind, slowly reminding him of the person he used to be.","Action, Horror, Mystery, Psychological, Seinen, Supernatural",03/04/2018 22:00 +0900,0,https://u.livechart.me/anime/poster_images/2913/0c73e4d8da82e2e6c139937a556deae6.png:small.jpg,Studio Pierrot,,,http://anidb.net/a13499,,http://www.anime-planet.com/anime/tokyo-ghoul-re,https://www.anisearch.com/anime/12880,,,,,https://kitsu.io/anime/13929,https://myanimelist.net/anime/36511,,,,,https://www.youtube.com/watch?v=dZ36ToJLHtA,https://twitter.com/tkg_anime,,http://www.marv.jp/special/tokyoghoul/,,
Livechart (2920),Spring-2018,BEATLESS ビートレス,Beatless,,,,False,"(From Livechart)
With the introduction of an ultra-advanced AI that surpasses human intelligence, beings that mankind is yet to fully comprehend made from materials far too advanced for human technology begin coming into being. Lacia, an hIE equipped with a black coffin-shaped device, is one of these. In boy-meets-girl fashion, 17-year-old Arato Endo has a fateful encounter with the artificial Lacia. For what purpose were these artificial beings created? Amid questions regarding the coexistence of these artificial beings and humans, a 17-year-old boy makes a decision...
(Source: Tokyo Otaku Mode)","Action, Drama, Romance, Sci-Fi",01/04/2018 00:00 +0900,24,https://u.livechart.me/anime/poster_images/2920/2d0fa60fa7be3b371c24aec037fd0047:small.jpg,Diomedéa,,https://www.amazon.com/dp/B079159WLM,http://anidb.net/a13500,,http://www.anime-planet.com/anime/beatless,https://www.anisearch.com/anime/12884,,,,,https://kitsu.io/anime/13939,https://myanimelist.net/anime/36516,,,,,https://www.youtube.com/watch?v=ZKVpM8esO6Q,https://twitter.com/BEATLESS_info,,http://beatless-anime.jp,,
Livechart (1735),Spring-2018,食戟のソーマ OVA,Shokugeki no Souma OVA,Food Wars! Shokugeki no Soma OVA,Food Wars: Shokugeki no Soma OAD,,False,"(From Livechart)
OVAs bundled with the 18th, 19th, 24th and 25th volumes of the Shokugeki no Souma manga.","Ecchi, School, Shounen",02/05/2018 00:00 +0900,5,https://u.livechart.me/anime/poster_images/1735/7b73676a7b92f10273778eb8e8413a94:small.jpg,J.C.Staff,,,http://anidb.net/a11664,,http://www.anime-planet.com/anime/food-wars-shokugeki-no-souma-ova,https://www.anisearch.com/anime/10898,,,,,https://kitsu.io/anime/11353,https://myanimelist.net/anime/31327,,,,,https://www.youtube.com/watch?v=Fn2gY2mwRPU,https://twitter.com/shokugeki_anime,,http://www.shokugekinosoma.com,,
Livechart (732),Spring-2018,劇場版「Fate/stay night [Heaven's Feel] Ⅰ.presage flower」,Fate/Stay Night: Heaven's Feel I. Presage Flower,,,,False,"(From Livechart)
[Fate/Stay Night spoilers]
The story of the film will revolve around Sakura Matō, the younger sister by blood to Rin Tohsaka, but when she was young, Sakura was sent to the Matō household as an adopted daughter. There, she was given torturous training in order to give her powerful magic powers. Sakura was not supposed to enter the Holy Grail War, but due to her getting into a romantic relationship with Shirō, the passion hidden within herself and her mental restraints go berserk. Sakura becomes a large game-changer in the Holy Grail War, and forces Shirō to walk toward a cruel fate.
(Source: Anime News Network)","Action, Fantasy, Magic, Supernatural",09/05/2018 00:00 +0900,0,https://u.livechart.me/anime/poster_images/732/e7a132c308e72b3ac113f63cfd670202:small.jpg,ufotable,,,http://anidb.net/a10755,,http://www.anime-planet.com/anime/fate-stay-night-heavens-feel,https://www.anisearch.com/anime/9744,,,,,https://kitsu.io/anime/8675,https://myanimelist.net/anime/25537,,,,,https://www.youtube.com/watch?v=hXTf2QYuXZc,https://twitter.com/Fate_SN_Anime,,http://www.fate-sn.com,,
Livechart (2830),Spring-2018,進撃の巨人 LOST GIRLS,Shingeki no Kyojin: Lost Girls,Attack on Titan: Lost Girls,Shingeki no Kyojin OVA,,False,"(From Livechart)
LOST GIRLS tells of the times and spaces in between the plot points, through the eyes and ears of the saga's toughest - but more taciturn - heroines. What they thought, and felt, and did on and off stage come to the fore via a medium distinctly suited to conveying interiority: language.
(Source: attackontitan.wikia.com via AniDB)","Action, Drama, Fantasy, Super Power",09/04/2018 00:00 +0900,3,https://u.livechart.me/anime/poster_images/2830/f1a64a47938f9d3ee10f451448592991:small.jpg,Wit Studio,,,http://anidb.net/a13374,,http://www.anime-planet.com/anime/attack-on-titan-lost-girls,https://www.anisearch.com/anime/12714,,,,,https://kitsu.io/anime/13718,https://myanimelist.net/anime/36106,,,,,https://www.youtube.com/watch?v=RpZCZfsJcCU,https://twitter.com/anime_shingeki,,http://shingeki.tv,,
Livechart (2815),Spring-2018,PERSONA5 the Animation,Persona 5 the Animation,,,,False,"(From Livechart)
No synopsis has been added to this title.","Adventure, Mystery, School, Sci-Fi, Supernatural, Super Power",08/04/2018 12:30 +0900,0,https://u.livechart.me/anime/poster_images/2815/7ec1ae047843b6a6eccad64e7edb7365:small.jpg,A-1 Pictures,,,http://anidb.net/a13331,,http://www.anime-planet.com/anime/persona-5-the-animation,https://www.anisearch.com/anime/12675,,,,,https://kitsu.io/anime/13684,https://myanimelist.net/anime/36023,,,,,https://www.youtube.com/watch?v=SZMAheXAk7U,https://twitter.com/P5_anime,,http://p5a.jp,,
Livechart (2677),Spring-2018,ReLIFE 完結編,ReLIFE: Kanketsu-hen,ReLIFE: Final Chapter,,,False,"(From Livechart)
Arata Kaizaki (27) quit the job he landed after graduation in only three months. His life did not go well after that. Now his parents are threatening to stop sending money, and want him to come back to the country. He has no friend or girlfriend to share his troubles with...as he hits rock bottom a strange man named Ryo Yoake appears. Yoake invites Kaizaki to join a societal rehabilitation program for NEETs called ReLife. This program uses a mysterious drug to make him look younger, and sends him back to high school for a year...
(Source: Crunchyroll)","Romance, School, Slice of Life",21/03/2018 00:00 +0900,4,https://u.livechart.me/anime/poster_images/2677/8f08b0add525263bb70cec174b562c08.png:small.jpg,"TMS Entertainment, Double Eagle",,,http://anidb.net/a13123,,http://www.anime-planet.com/anime/relife-kanketsu-hen,https://www.anisearch.com/anime/12472,,http://www.crunchyroll.com/relife,,,https://kitsu.io/anime/13502,https://myanimelist.net/anime/35466,,,,,https://www.youtube.com/watch?v=iR7nB7--CzI,https://twitter.com/ReLIFE_anime,,http://relife-anime.com,,
Livechart (2554),Spring-2018,文豪ストレイドッグス DEAD APPLE,Bungou Stray Dogs: Dead Apple,,"Gekijouban Bungou Stray Dogs, Bungou Stray Dogs Movie",,False,"(From Livechart)
No synopsis has been added to this title.","Mystery, Seinen, Supernatural",03/03/2018 00:00 +0900,0,https://u.livechart.me/anime/poster_images/2554/071132f3d7a9e97653ee260449b53a03.png:small.jpg,Bones,,,http://anidb.net/a12837,,,https://www.anisearch.com/anime/12234,,,,,https://kitsu.io/anime/13570,https://myanimelist.net/anime/34944,,,,,https://www.youtube.com/watch?v=6ySfGSAbNc0,https://twitter.com/bungosd_anime,,http://bungo-stray-dogs.jp,,
Livechart (2445),Spring-2018,打ち上げ花火、下から見るか？横から見るか？,"Uchiage Hanabi, Shita kara Miru ka? Yoko kara Miru ka?","Fireworks, Should We See it from the Side or the Bottom?",,,False,"(From Livechart)
The film is set on one day during summer vacation. It follows a group of boys who try to view a fireworks display from the town lighthouse to see if they look round or flat when viewed from the side. Meanwhile, one of the boys, Norimichi, receives an invitation from his crush Nazuna to run away with her.
(Source: Anime News Network)",Drama,18/04/2018 00:00 +0900,0,https://u.livechart.me/anime/poster_images/2445/0eba37faf55df091a0b814fa84dbd459:small.jpg,Shaft,,,http://anidb.net/a12605,,http://www.anime-planet.com/anime/uchiage-hanabi-shita-kara-miru-ka-yo-kara-miru-ka-movie,https://www.anisearch.com/anime/12081,,,,,https://kitsu.io/anime/12794,https://myanimelist.net/anime/34498,,,,,https://www.youtube.com/watch?v=-tKVN2mAKRI,https://twitter.com/uchiage_movie,,http://www.uchiagehanabi.jp,,
Livechart (2957),Spring-2018,新妹魔王の契約者 DEPARTURES,Shinmai Maou no Testament Departures,The Testament of Sister New Devil Departures,Shinmai Maou no Testament 2,,False,"(From Livechart)
No synopsis has been added to this title.","Action, Ecchi, Fantasy, Romance, Shounen",28/03/2018 00:00 +0900,0,https://u.livechart.me/anime/poster_images/2957/eb1815c4a131f709b600ac3f82f4b407:small.jpg,Production IMS,,,http://anidb.net/a13543,,http://www.anime-planet.com/anime/the-testament-of-sister-new-devil-departures,https://www.anisearch.com/anime/12940,,,,,https://kitsu.io/anime/13993,https://myanimelist.net/anime/36688,,,,,https://www.youtube.com/watch?v=EMpuVrwbBX8,https://twitter.com/shinmaimaou,,http://anime-shinmaimaou.com,,
Livechart (2515),Spring-2018,実験品家族 -クリーチャーズ・ファミリー・デイズ-,Jikken-hin Kazoku: Creatures Family Days,,"Shiyan Pin Jiating, Frankenstein Family",,False,"(From Livechart)
A scientist couple has been arrested for conducting illegal studies, allegedly for performing genetic modification on five of their children. The youngest child Dannis is the only one who grew up as a normal human and now has to tend to the rest of his family while trying to find a medicine to turn them into normal humans again.
Dog human, plant gene, spiderweb gene, and mind reading–how will these family members who grew up in a laboratory survive in the outside world?!
(Source: MyAnimeList News; edited)","Sci-Fi, Supernatural",09/04/2018 18:30 +0900,0,https://u.livechart.me/anime/poster_images/2515/67a5801c7904393511331b4482ea54e9:small.jpg,Studio TBD,,,http://anidb.net/a12739,,http://www.anime-planet.com/anime/jikken-hin-kazoku-creatures-family-days,https://www.anisearch.com/anime/12973,,,,,https://kitsu.io/anime/13463,https://myanimelist.net/anime/36397,,,,,https://www.youtube.com/watch?v=E2i8EvYLEdw,https://twitter.com/jikkenhin,,http://jp.frankenstein-family.com,,
Livechart (2944),Spring-2018,モブサイコ100 REIGEN ～知られざる奇跡の霊能力者～,Mob Psycho 100 Reigen: Shirarezaru Kiseki Reinouryokusha,Mob Psycho 100: Reigen - The Miraculous Unknown Psychic,"Mob Psycho 100 OVA, Mob Psycho 100: Reigen - The Miracle Psychic that Nobody Knows",,False,"(From Livechart)
A summary episode of Mob Psycho 100 which features commentary from Reigen Arataka.
(Source: MyAnimeList)","Action, Comedy, Supernatural",18/03/2018 00:00 +0900,0,https://u.livechart.me/anime/poster_images/2944/b81f5e4986ad11ff9503da031d818698:small.jpg,Bones,,,http://anidb.net/a13527,,http://www.anime-planet.com/anime/mob-psycho-100-event-special,https://www.anisearch.com/anime/12922,,http://www.crunchyroll.com/mob-psycho-100,,,https://kitsu.io/anime/41073,https://myanimelist.net/anime/36616,,,,,,https://twitter.com/mobpsycho_anime,,http://mobpsycho100.com,,
Livechart (2432),Spring-2018,コードギアス 反逆のルルーシュⅢ 皇道,Code Geass: Hangyaku no Lelouch III - Oudou,Code Geass: Lelouch of the Rebellion Episode III - The Imperial Path,Code Geass: Hangyaku no Lelouch Movie 3,,False,"(From Livechart)
Last of three films compiling the ""Code Geass: Hangyaku no Lelouch"" TV anime.","Action, Mecha, Military, Sci-Fi",26/05/2018 00:00 +0900,0,https://u.livechart.me/anime/poster_images/2432/bf4bdb57b64f7ecc7065d6642611386c:small.jpg,Sunrise,,,http://anidb.net/a12567,,http://www.anime-planet.com/anime/code-geass-lelouch-of-the-rebellion-movie-3,https://www.anisearch.com/anime/12052,,,,,https://kitsu.io/anime/13852,https://myanimelist.net/anime/34440,,,,,https://www.youtube.com/watch?v=4jIMUpM4YN0,https://twitter.com/GEASSPROJECT,,http://www.geass.jp/L-geass/,,
Livechart (2449),Spring-2018,劇場版 生徒会役員共,Seitokai Yakuindomo Movie,,,,False,"(From Livechart)
Ousai Academy was originally an all-girls high school. Due to the declining birth rates in recent years, it was converted into a co-ed school. The first year male students would find themselves surrounded by girls and unfortunately, Tsuda Takatoshi is one of them. What's worse, he gets scolded on his first day by the student council president Shino Amakusa, which did not give a good first impression of him. Tsuda also meets the other student council members while getting scolded, and in the end, he gets late for class. As an apology for ruining his morning, Shino lets him join the student council for various of ""reasons"" and he accepts it, or rather, he's forced to accept. Thus begins his days as Tsuda soon realizes that he's the only normal student in Ousai Academy...
(Source: MyAnimeList)","Comedy, Ecchi, School, Shounen, Slice of Life",16/03/2018 00:00 +0900,0,https://u.livechart.me/anime/poster_images/2449/3ed53e1081a39935a39bd52e35f7ecda:small.jpg,GoHands,,,http://anidb.net/a12618,,http://www.anime-planet.com/anime/seitokai-yakuindomo-movie,https://www.anisearch.com/anime/12244,,,,,https://kitsu.io/anime/12959,https://myanimelist.net/anime/34504,,,,,https://www.youtube.com/watch?v=BSzTepK9Wv4,https://twitter.com/seitokai0428,,http://king-cr.jp/special/seitokai_G/,,
Livechart (3148),Spring-2018,ソードアート・オンライン　フェイタル・バレット -The Third Episode-,Sword Art Online Fatal Bullet: The Third Episode,,,,False,"(From Livechart)
Spin-off featuring a story not told in the video game.
(Source: MyAnimeList News)","Action, Fantasy, Game, Military, Sci-Fi",20/03/2018 01:35 +0900,0,https://u.livechart.me/anime/poster_images/3148/e69078c8cbebafc2b55d57ab800f8a12.png:small.jpg,Studio TBD,,,http://anidb.net/a13835,,http://www.anime-planet.com/anime/sword-art-online-fatal-bullet-the-third-episode,https://www.anisearch.com/anime/13366,,,,,,https://myanimelist.net/anime/37362,,,,,https://www.youtube.com/watch?v=VK38TwDHg40,,,http://saofbspecialmovie_koetwi.sao-game.jp,,
